Doc_53 :Topic_8:0.19270110723644845, Topic_0:0.16102772021680464, Topic_5:0.16101679571332211, Topic_1:0.15506574168875886, Topic_6:0.09250387849738426, Topic_2:0.07677075771034426, Topic_7:0.05043373477681084, Topic_3:0.0451137554574471, Topic_4:0.0381960416113985, Topic_9:0.027170467091281056
Doc_54 :Topic_5:0.17112140902975673, Topic_4:0.15740676331494652, Topic_0:0.14963791552193015, Topic_7:0.11950083904610018, Topic_6:0.10706256209819688, Topic_8:0.10141748406602537, Topic_3:0.082021683398224, Topic_1:0.0742471728621176, Topic_2:0.03032672541770066, Topic_9:0.007257445245002041
Doc_55 :Topic_0:0.2592784265471044, Topic_6:0.24385461874857237, Topic_2:0.11195636459791211, Topic_4:0.0981462901738666, Topic_5:0.08190288923216661, Topic_3:0.05481690740687972, Topic_9:0.049649395013365544, Topic_8:0.043864240692679746, Topic_1:0.030595033661841072, Topic_7:0.025935833925611957
Doc_56 :Topic_4:0.6475261529407669, Topic_0:0.12701545387848798, Topic_3:0.054703171765883615, Topic_8:0.04543479923005905, Topic_9:0.043665741017006376, Topic_2:0.03758159932231646, Topic_6:0.019672499297816323, Topic_5:0.010508813056267266, Topic_1:0.007865615740310741, Topic_7:0.006026153751085382
Doc_57 :Topic_4:0.34736234414716305, Topic_2:0.13230933871190292, Topic_0:0.11014973722245208, Topic_6:0.09325200886606172, Topic_5:0.08135929749349112, Topic_3:0.07589628981023248, Topic_8:0.07372588464557214, Topic_1:0.03624672130037307, Topic_9:0.028075396793789297, Topic_7:0.021622981008962316
Doc_58 :Topic_9:0.43571492946642754, Topic_2:0.39568620346137656, Topic_8:0.03923252200686674, Topic_1:0.030059420149623234, Topic_4:0.020832039257438196, Topic_5:0.0203241150135165, Topic_3:0.017765886882500862, Topic_0:0.0164668339549505, Topic_6:0.013912229450750381, Topic_7:0.010005820356549408
Doc_59 :Topic_9:0.4115080802570149, Topic_0:0.17803334712332367, Topic_1:0.10019084727196845, Topic_5:0.08924598484730507, Topic_8:0.08164010540002864, Topic_3:0.04734240724188085, Topic_4:0.032308518378067856, Topic_6:0.026486637457993612, Topic_2:0.02263131618238525, Topic_7:0.010612755840031764
Doc_60 :Topic_9:0.607881836589042, Topic_3:0.12170906812267347, Topic_0:0.059324281732179046, Topic_8:0.05687932069406395, Topic_1:0.05170358967968449, Topic_5:0.05100760601491347, Topic_4:0.022385757755321978, Topic_2:0.014468919677690435, Topic_6:0.008841693875675105, Topic_7:0.005797925858756035
Doc_61 :Topic_0:0.38861720385153103, Topic_2:0.2073204593086896, Topic_8:0.10171196635620476, Topic_5:0.082383140889631, Topic_1:0.05328597874797533, Topic_7:0.04452601797098915, Topic_6:0.04026889248551933, Topic_9:0.03163558725741097, Topic_4:0.0254340021577579, Topic_3:0.024816750974290872
Doc_62 :Topic_1:0.199077431249007, Topic_6:0.1881390124039961, Topic_5:0.12730751493279216, Topic_7:0.12553178415944288, Topic_2:0.10556728454155917, Topic_0:0.0783170549422536, Topic_3:0.048043629823379765, Topic_9:0.045152609242253824, Topic_4:0.04259593321869478, Topic_8:0.040267745486620585
